skills,education_level,years_experience,previous_job_title,current_job_title,expected_salary,location,employment_type
"SQL, Excel, Python",Bachelors,1,Data Scientist,Data Analyst,6,Hyderabad,Full-time
"Python, R, SQL, Pandas, Machine Learning",Bachelors,4,Data Analyst,Data Scientist,14,Hyderabad,Internship
"Tableau, Python, Excel",Masters,9,Software Developer,Data Analyst,5,Bangalore,Contract
"React, Python, Git, Java, C++",Bachelors,3,Software Developer,Software Developer,19,Delhi,Internship
"Python, React, Java",Masters,10,Data Analyst,Software Developer,14,Hyderabad,Internship
"ETL, Power BI, Excel, Tableau",Masters,0,ML Engineer,BI Analyst,9,Hyderabad,Contract
"Git, React, Python",Bachelors,4,ML Engineer,Software Developer,17,Remote,Internship
"C++, Git, Java",Masters,1,ML Engineer,Software Developer,18,Remote,Full-time
"ETL, Tableau, Excel, Power BI",PhD,0,Data Analyst,BI Analyst,15,Bangalore,Internship
"Tableau, SQL, Excel",Masters,4,Data Scientist,BI Analyst,15,Remote,Contract
"Keras, TensorFlow, Docker",PhD,8,Data Analyst,ML Engineer,20,Delhi,Internship
"TensorFlow, Python, Scikit-learn",Masters,1,Data Scientist,ML Engineer,14,Hyderabad,Internship
"Pandas, R, SQL, Python, Machine Learning",Bachelors,10,Software Developer,Data Scientist,17,Bangalore,Internship
"Power BI, Excel, SQL, Python, Tableau",Bachelors,10,Data Analyst,Data Analyst,8,Bangalore,Contract
"Scikit-learn, TensorFlow, Keras, Python",Masters,9,Data Scientist,ML Engineer,17,Hyderabad,Full-time
"Tableau, SQL, Excel, Power BI, Python",Masters,0,Data Analyst,Data Analyst,5,Hyderabad,Full-time
"Scikit-learn, TensorFlow, Docker, Python, Keras",Bachelors,1,BI Analyst,ML Engineer,13,Bangalore,Full-time
"Scikit-learn, Docker, TensorFlow",Bachelors,6,Data Analyst,ML Engineer,22,Mumbai,Internship
"ETL, Tableau, SQL, Excel, Power BI",Bachelors,0,Data Scientist,BI Analyst,10,Bangalore,Contract
"ETL, Power BI, SQL, Excel, Tableau",Bachelors,1,ML Engineer,BI Analyst,14,Remote,Contract
"Python, Tableau, SQL, Excel, Power BI",Bachelors,5,ML Engineer,Data Analyst,9,Delhi,Internship
"Java, Git, Python",PhD,1,Data Analyst,Software Developer,14,Delhi,Full-time
"Keras, TensorFlow, Scikit-learn, Docker",Masters,10,Data Scientist,ML Engineer,19,Hyderabad,Internship
"Power BI, Excel, Tableau",Bachelors,3,Software Developer,Data Analyst,8,Bangalore,Full-time
"SQL, ETL, Power BI, Tableau",Masters,4,ML Engineer,BI Analyst,5,Bangalore,Contract
"Python, Keras, Scikit-learn, Docker, TensorFlow",Bachelors,4,Software Developer,ML Engineer,21,Bangalore,Internship
"Machine Learning, R, Python, SQL",PhD,2,BI Analyst,Data Scientist,23,Hyderabad,Internship
"Python, Scikit-learn, Docker, TensorFlow, Keras",Bachelors,7,Software Developer,ML Engineer,17,Mumbai,Internship
"Python, React, Git",Masters,10,Data Scientist,Software Developer,7,Remote,Internship
"Power BI, Tableau, Excel",Masters,5,BI Analyst,Data Analyst,14,Delhi,Full-time
"ETL, Power BI, Tableau",Bachelors,10,Software Developer,BI Analyst,18,Delhi,Contract
"Git, Python, C++, React, Java",Bachelors,10,BI Analyst,Software Developer,15,Mumbai,Contract
"SQL, Excel, Tableau, Power BI",Bachelors,7,ML Engineer,Data Analyst,13,Bangalore,Internship
"Machine Learning, SQL, Python, Pandas, R",Bachelors,3,ML Engineer,Data Scientist,29,Bangalore,Internship
"ETL, Power BI, Excel, Tableau, SQL",Bachelors,2,Data Analyst,BI Analyst,7,Mumbai,Full-time
"Python, Pandas, Machine Learning",Masters,10,Data Scientist,Data Scientist,29,Remote,Internship
